plu,price
20090107,11.33
20090106,11.33
20090108,11.33
20100006,13.12
20100001,6.56
20140006,2.52
20140030,2.22
20140007,8.12
20140008,4.07
20140009,3.76
20090000,2.03
20090009,1.26
20090011,1.48
20090012,1.48
20090013,1.48
20130011,5.02
10510003,7.56
20120000,6.57
20120001,6.57
20130031,3.07
48090005,8.26
48090002,3.32
48090001,2.66
48090039,3.02
48090009,2.93
48090012,3.93
48090010,3.12
48090070,3.42
48090004,5.36
48090186,3.22
48130002,3.33
48130036,3.96
48130006,3.42
48130000,3.58
48130001,3.62
48130003,5.62
32510024,1.44
48090187,2.47
48130025,6.66
48090129,2.28
48090006,8.03
48090046,3.32
48090051,3.12
48090055,3.32
48090161,15.43
42110004,1.23
42110005,1.73
42110007,1.52
42110008,1.52
42110176,2.02
30090004,1.26
25290210,3.43
25290213,3.43
25290000,3.12
25290019,1.78
42110001,2.38
42110003,1.52
25290344,1.18
42110169,2.36
33690020,4.18
42110477,1.48
42110220,0.63
32500265,1.02
40490005,2.38
42110150,2.36
13330003,1.88
13330002,1.88
13330001,1.88
13330098,3.76
13330071,4.34
13320002,7.52
13320001,10.02
13330154,3.12
13330000,5.63
15320005,5.02
46500003,1.72
46500036,2.82
46500037,2.82
46500005,1.72
10150048,1.18
46500007,2.38
46500019,4.38
46500093,3.76
46500096,2.52
46500047,3.13
46490005,4.12
46490000,2.02
46490003,4.72
46490004,4.72
46490006,3.07
31690007,0.82
31690008,0.82
31690068,1.03
31690066,1.03
31690067,1.03
31710002,3.02
31710003,3.78
31690011,1.12
31690010,1.02
31690024,1.12
31750086,2.86
31750000,0.92
31750045,4.42
31750006,0.92
31750046,0.77
31690009,0.87
31690070,0.87
31700008,1.32
31700024,1.74
31700023,2.56
33310000,2.36
33300001,1.48
33300004,2.86
33310075,2.03
33300002,2.88
33350033,2.02
33350001,1.52
33350000,0.73
10170002,1.26
33350004,2.06
10170072,2.72
32500068,1.43
10170161,2.72
10170071,2.72
10170008,1.02
10110003,2.62
10110000,3.13
10110065,2.84
32920002,2.12
10110002,2.52
32900015,0.98
32900037,0.98
32900019,0.98
32900018,0.98
31690126,1.74
39720001,1.73
39720000,3.13
39720040,2.98
39720039,2.98
39720068,3.68
40100001,1.62
40100028,1.43
40100000,1.62
30120010,2.52
10170004,3.16
40090044,2.02
40090005,2.02
40090043,2.02
40090000,2.48
40090001,7.52
32900007,3.12
32900008,3.12
32900009,1.03
32900022,2.94
32900010,2.02
25290083,1.64
45710012,1.86
25290072,3.76
45710035,2.23
45710039,4.72
38900023,3.76
38900000,2.52
38900025,2.44
38900007,5.02
38900001,1.88
43300048,1.26
43300003,7.52
43300011,4.62
43300019,6.62
43300004,7.52
10940083,1.26
35310003,2.36
35310005,2.36
33690013,4.32
32500000,4.07
35310007,2.36
32910046,1.16
35310006,2.36
32510019,1.88
32510017,1.57
32510018,1.26
32510015,1.26
32930013,2.38
32930005,3.76
32930008,2.38
32930000,2.92
32930009,3.07
35300012,1.56
45750128,1.63
35300001,2.82
32500079,2.36
35300023,1.44
35300027,1.38
34920024,0.94
34920000,2.06
34920001,2.06
34920002,2.06
34920003,2.06
35340005,2.86
35330001,0.86
35340060,4.48
35340003,2.93
35330043,2.76
34930004,6.03
34910013,3.73
34910000,4.08
34930001,3.94
34930026,1.94
34940004,1.57
34900000,1.23
34900001,1.26
34940014,2.02
34940011,0.53
32490010,2.32
32490011,2.32
32490046,1.88
32490006,2.52
32490014,0.76
32490000,1.06
32490009,1.63
32490044,1.57
32490025,1.88
32490031,0.94
32490029,2.52
30120007,4.07
45700010,2.56
45750002,2.26
46120007,2.82
46120000,3.12
38520000,2.32
38490000,3.73
38490009,2.02
38490010,4.62
38500001,2.76
38490002,2.26
38090017,1.56
38490003,1.82
38490004,1.93
38490005,2.26
38090021,3.68
38100000,3.43
38100001,5.88
38100002,5.88
38100003,3.13
38490029,1.32
40090003,3.76
38090009,5.62
38090010,5.63
46120008,2.48
27700005,2.82
27310013,0.63
27310014,0.63
27700006,2.12
27700000,2.12
27290022,2.68
27310005,0.63
27290017,2.48
27310015,1.66
27290028,3.73
27690004,1.22
27690005,1.47
27690006,2.24
27690007,2.98
27690008,1.52
27290013,4.34
27290015,2.36
27290014,1.84
27310011,1.98
27290016,2.22
32940001,1.52
32940000,1.52
32940002,1.52
32900029,0.78
32940004,1.38
10510056,1.14
10510004,5.98
10510115,6.28
10510083,8.17
10510011,4.14
20130029,2.94
10510000,7.04
10510001,7.56
10510108,7.87
10510109,10.06
15000001,5.02
10510037,3.78
10510028,3.58
10510121,2.97
10510136,3.58
10510100,6.02
10510053,17.62
10510045,7.16
10510026,7.12
10510052,6.92
10510059,7.22
10510144,0.52
10510012,3.23
10510081,5.04
10510066,8.52
32510031,2.07
32510032,2.07
32510033,2.07
32510034,2.07
10520013,3.24
10520003,20.14
10520005,12.58
10520006,12.58
10520015,6.62
10520026,12.58
10520002,7.88
10520027,7.88
10520009,6.32
10520080,6.93
10520071,5.04
32900000,0.94
32900004,2.07
32920024,2.26
32910000,2.22
32900027,2.13
32910002,1.02
32910001,1.02
32910022,1.63
32910005,2.38
32900016,1.28
32900020,1.28
32900017,1.52
32900021,1.52
32900025,1.06
32900002,2.12
32900031,1.22
45700006,1.26
32900032,1.22
32910021,0.82
33720010,4.13
32910057,2.22
32910008,3.44
33720001,1.88
33720004,2.72
38890001,4.02
38890019,2.32
38890020,2.32
38890003,5.93
38890002,3.44
38910000,1.46
38910001,1.46
38910002,1.63
38890014,6.23
38890171,2.98
38090000,3.28
38890013,3.48
38890122,1.76
32900003,2.03
32890003,1.62
32900040,2.03
14120004,5.63
14120002,5.63
14120000,5.02
14120078,5.02
14120001,4.38
14980002,1.48
15000005,1.82
14980000,1.32
15000031,4.36
14990005,3.38
15010000,1.82
15340004,5.02
15010012,3.82
15340027,2.52
15340017,3.13
11290004,2.52
11310004,3.28
11290001,3.12
11310000,4.06
11310003,5.73
36100000,1.73
36110004,4.98
36110005,4.98
36110007,4.98
36110006,6.73
14090020,3.13
37370020,1.76
14100121,2.82
15010001,3.13
13340037,8.76
12100000,1.38
12100018,1.88
12100010,2.94
12100001,1.88
15320004,9.38
30100009,2.24
30130013,1.57
30130018,3.56
30130003,3.76
30130004,3.76
42890027,4.87
42890026,6.43
42890024,1.24
42890025,3.48
42890031,3.84
30130008,3.56
30130000,2.82
30090000,1.62
28910006,6.12
30090001,2.12
45700000,2.98
45700018,3.56
45700001,3.72
45700002,3.44
45700003,3.38
39290001,3.07
39290000,3.07
39290067,2.22
39290089,2.22
39290082,2.56
45750009,3.72
45750135,2.12
45750016,2.22
45750085,2.22
45750055,2.33
29680021,2.52
29680020,2.22
29680022,3.94
29680005,3.12
29680023,3.52
33690007,5.56
46500084,1.62
46500085,1.62
46500086,1.62
46500087,1.62
45750126,2.07
45750127,1.82
45750000,2.07
45750133,3.43
45750132,3.43
45710000,0.82
45710002,0.76
45710003,0.82
45710004,4.28
45710005,4.28
12900000,9.38
12910003,7.48
12910002,8.12
12890000,4.98
12960014,7.18
12920004,3.13
12920000,2.22
12940001,8.12
12970000,1.62
12940000,8.12
12950000,3.76
12950003,3.32
12950004,3.32
12950005,3.76
12950006,3.76
40490003,2.47
40490000,2.47
40490001,2.47
40490002,2.47
40490004,2.47
40540000,2.32
40540002,2.32
40540003,2.32
40540009,2.32
40540004,2.82
39290064,2.22
32500002,2.23
32500099,4.73
32500278,4.73
32500096,4.73
32500098,2.36
40510001,1.78
47710044,2.86
47710045,3.53
40600001,2.82
47300009,1.62
40550016,2.22
40620003,2.48
40550018,2.98
40550020,2.68
34890003,1.02
34890004,1.02
34890005,0.93
34890006,0.93
34890007,0.93
34890038,2.22
32500037,0.94
34890000,1.88
32500286,0.94
32500287,0.94
32500125,2.26
32510115,2.22
34890051,0.82
32500124,1.44
32500126,1.44
32510000,15.62
32500071,3.16
32500065,1.26
32500066,1.26
32500067,1.26
35720124,2.62
35720000,2.62
35720118,2.12
35770134,2.56
35770135,2.42
35720082,4.36
35750031,3.12
35750009,3.62
35720130,1.84
35720009,2.18
35690002,1.82
45690022,2.52
45690046,2.52
45690062,2.52
45690059,2.52
35770054,2.42
35730002,2.16
32510049,0.98
35770151,2.56
35770000,2.78
35700000,2.42
35700002,2.42
35700001,2.42
35700003,2.42
35700004,2.42
35750007,0.96
35750006,0.82
35750008,0.96
35750005,0.96
35750004,0.96
35710057,1.02
35710056,1.87
35710055,1.06
35710000,3.88
35710001,4.06
36920027,15.17
36920026,22.32
36920117,33.64
36920137,24.43
36920007,45.26
36920075,26.82
36920076,26.82
36920022,23.68
36920078,18.98
36920047,25.32
36910007,3.43
36910001,4.97
36910031,3.37
36910002,3.52
36910003,3.52
36920128,22.33
36920008,22.32
36920013,35.72
36920046,15.17
36920019,22.32
36920138,24.72
36920029,22.32
36920030,15.58
36920003,30.96
36910009,4.97
33700000,6.76
33700033,3.12
33700001,8.43
33700009,9.06
33700050,4.86
33690003,4.98
33690002,0.48
33690005,0.63
33690006,0.63
33690011,3.48
33720012,1.37
33720002,2.52
33720006,1.12
33720000,2.23
33720003,1.82
33710001,3.86
33710042,5.02
33710000,4.23
33710003,2.86
33710006,2.86
37370001,0.88
37370009,1.08
37370000,1.62
37370003,1.76
37370002,3.52
37340148,23.97
37340149,18.63
37330015,9.32
37340187,20.22
37340150,23.97
37330005,11.26
37330006,13.17
37330007,17.02
37330009,11.26
37330012,22.02
37340156,58.53
37340177,35.32
37340178,33.16
37340179,54.82
37340181,31.22
37360008,5.34
37360009,5.34
37360010,5.34
37360024,5.34
37360029,24.32
28230018,5.62
28230119,3.13
28230041,5.62
28230026,4.18
28230000,4.18
28260005,2.52
28260025,4.66
28260024,4.66
28260006,2.52
28260028,6.26
28290004,1.26
28290005,1.26
28220010,4.66
28290000,1.86
28290001,1.86
28160008,7.48
28160007,7.48
28270015,5.63
28270013,3.73
28270014,3.73
28240000,1.23
28240001,1.88
28240002,1.86
28240003,1.86
28240005,1.23
28190009,3.12
28190053,5.62
28190006,3.44
28190007,3.44
28190008,3.44
28250005,6.88
28230081,8.32
28230049,3.13
28230028,7.52
28230058,4.36
28220055,4.13
28220012,3.02
28220006,3.72
28220051,16.26
28220052,29.98
47290001,1.36
47290000,1.36
47290002,1.36
47290003,0.76
47290010,0.76
28490000,1.02
28490007,1.52
47300008,1.56
28490003,1.26
28490015,1.48
26890005,1.12
26890000,2.16
26890002,1.12
26890013,1.72
26890012,2.52
47290013,1.22
47290015,1.26
47300000,0.63
47290004,1.24
47300027,1.88
36670000,5.02
36670001,6.24
36670003,6.24
36590011,58.52
36590002,46.38
36590000,27.48
36590001,80.13
36590028,63.92
36710000,20.76
36690003,7.72
36690060,12.62
36690013,11.63
36690015,11.67
36680012,8.58
36680000,8.58
36680002,9.06
36680003,10.28
36680010,10.97
36700000,7.72
36700004,7.72
36700007,14.33
36700006,9.78
36700015,14.22
32890020,2.13
36900012,10.4
36920278,9.75
48090507,12.15
